beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std
0.01,0.6,1.0,1226,0.0,0.04338012433945403,0.06513035357170777,-42.14560905349589,8.578510028120728,,,4.405403653069541,25.149340725916705,31.069384239190843,48.64664237016328,35.47478789226038,52.20367401954921
0.01,0.6,1.4,1224,0.0,0.03466574974308582,0.06250504752514376,-42.301090245912555,8.679247386605452,,,5.183918383662197,26.301583937800498,29.64429121697736,48.26950667582593,34.82820960063955,52.09946896288253
0.01,0.6,1.8,1185,0.0,0.042060658901542994,0.06809899093962044,-41.937915187462416,8.429764698133312,,,5.889220954887767,27.64894588878348,29.874515610148425,48.35879729424225,35.76373656503619,52.4513387923887
0.01,0.6,2.2,1157,0.000864304235090752,0.03386986286554856,0.062091094925374374,-41.277922597217255,8.409097138933186,-42.86270523071289,,6.417716319824753,27.032602434791503,28.528888280394305,46.836266314806586,34.94660460021906,50.57861957487786
0.01,0.6,2.6,1133,0.0,0.04067824987425564,0.06928715699266039,-42.31354085230101,9.05304209898325,,,7.211931911179006,31.95829289289983,27.461036244930618,46.16704684202343,34.672968156109626,52.50345550624762
0.01,0.6,3.0,1115,0.0,0.043817485929060034,0.07133475229671359,-41.705638460544726,8.494009095593583,,,7.586463032411182,30.645774355678665,27.69625160787724,46.63343700829544,35.28271464028842,51.89975832221551
0.01,0.6,3.4,1094,0.0,0.03824482452280222,0.20072263377696678,-42.0381822421064,8.678894663283536,,,8.108138692739454,32.24008834393749,26.316087271410467,46.90123994312923,34.42422596414992,53.03185318461119
0.01,0.6,3.8,1061,0.0,0.02627368247474636,0.05652054891560477,-42.25922647544316,8.559087963340428,,,8.117102278863808,31.863026121820347,25.791347157720416,45.38930804971371,33.90844943658423,51.54335167149442
0.01,0.6,4.2,1065,0.0,0.027861169806102953,0.05606754194155539,-43.365527890471796,7.383651679165385,,,8.623419132730419,32.01360398729115,25.530226003817273,45.92115924767872,34.15364513654769,51.89686372222163
0.01,0.6,4.6,1022,0.0,0.04287101984489603,0.06504104549318997,-42.372552085430065,8.30865814502087,,,9.307356371724625,30.496431494153214,25.02305647480063,45.70384049699666,34.330412846525256,50.527725960168866
0.01,0.6,5.0,1006,0.0009940357852882703,0.024217734516963296,0.050352266421959745,-42.81912483888514,7.861779592580248,-28.871265411376957,,9.91042242329017,33.64092316288504,24.75348106409492,45.837554812721095,34.6639034873851,52.365366902595575
0.01,1.0,0.01,1303,0.0,0.024216228142569296,0.05412281444497555,-42.79428250122071,8.953848079332507,,,2.312743508006636,18.76413329717946,32.71629103517701,49.65040849411833,35.02903454318364,51.63253353316636
0.01,1.0,0.2,1326,0.0,0.012627194549879397,0.038971595873559736,-42.65978957584926,8.354043256803047,,,2.609877558479532,21.94573239568446,32.363623903508774,49.49804563740612,34.973501461988306,52.56169935229088
0.01,1.0,0.6,1279,0.0,0.024324846603232603,0.05130403670935087,-42.04951026088508,9.15040950161887,,,3.996090681573227,28.513624285365097,31.18092471821852,48.0787789822314,35.17701539979175,53.622555840849195
0.01,1.0,1.0,1235,0.0,0.029792669813635347,0.05674912148125192,-42.25678071615213,8.46743058952668,,,4.237946412252805,25.158489539696557,30.973562525130678,49.067212574669995,35.21150893738349,52.70671640339522
0.01,1.0,1.4,1169,0.0,0.02689541049039689,0.05700913213432065,-41.713257175189234,8.650599209407993,,,4.663026535888078,21.741154618138456,29.647344510340634,48.14909320193717,34.31037104622871,50.14483526656288
0.01,1.0,1.8,1173,0.0,0.020591804133651494,0.05230462951736307,-42.12267190318997,8.277088729281347,,,5.618829628812532,29.144639919907338,28.599727906164397,47.74740710510127,34.21855753497693,52.98880256298238
0.01,1.0,2.2,1111,0.0,0.02674751728101814,0.05441059878149895,-41.69781116516359,8.772818378048026,,,6.340476461871651,28.94812934106429,28.54401762984916,47.74843806183562,34.88449409172081,52.496871860994936
0.01,1.0,2.6,1147,0.0,0.017162188302977742,0.0464249362595451,-41.50603851519133,7.744676824331399,,,7.098047698880537,29.252313782692667,28.589358787157718,48.34124532852586,35.687406486038256,52.78915273761346
0.01,1.0,3.0,1118,0.0,0.02655253640653609,0.0541462975205363,-42.60069342736919,8.749780917069208,,,7.635638876795821,29.445360550252545,27.543852488753444,47.32160601487029,35.17949136554926,51.82384528942634
0.01,1.0,3.4,1097,0.0009115770282588879,0.02764568833078403,0.0579105323339443,-42.5479940802364,7.617386479302887,-42.468894958496094,,7.878293025264522,28.381202147020304,26.373443460735622,46.53418432256346,34.25173648600014,50.55042116515322
0.01,1.0,3.8,1065,0.0,0.027515294965996997,0.05627799556870276,-41.70510474459053,8.332753427741785,,,8.697102554327106,31.762158858789707,26.011882068877874,46.458099513501686,34.708984623204984,52.1028702686867
0.01,1.0,4.2,1041,0.0,0.021575392723994842,0.05637050480506329,-42.82872248256908,8.742748767453456,,,9.187321041016942,33.15798187061788,25.15114624938447,46.2154502357967,34.33846729040142,52.66071595647322
