beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std,update
0.01,0.01,0.01,11,0.0,3.385435451160727,0.29246254949480704,-41.08860485171626,45.92696915625719,,,68.31715616545337,53.43684007818187,0.16996485649736426,4.2579490041463695,68.48712102195074,53.38916079288167,4.205435451160727
0.01,0.01,0.2,11,0.0,3.5501393404873367,0.3417456396493514,-41.48161008622911,45.57862132632818,,,66.90434339841107,53.022637874525046,0.16129932271722225,4.2053040644198605,67.0656427211283,52.985856671827186,4.5601393404873365
0.01,0.01,0.4,11,0.09090909090909091,3.4517158161509642,0.5295106103113881,-43.83584193672453,64.1784702219296,-33.085567474365234,,75.64660894963386,50.4939408854467,0.1790555648722679,4.571059660391805,75.82566451450612,50.43255091786444,4.661715816150965
0.01,0.01,0.6,11,0.09090909090909091,3.186377612027209,0.6679601926382339,-40.59555438691817,47.110479137105465,-36.66380310058594,,75.64603470159142,50.795886271686946,0.15255171067129727,4.040036583431295,75.79858641226272,50.72931707455278,4.59637761202721
0.01,0.01,0.8,11,0.0,3.2180222597988726,0.3805158023655089,-39.29554383765717,5.761750617897077,,,61.06817674781784,54.81885292561651,0.174293761677682,4.516093272935695,61.242470509495526,54.810707756760166,4.828022259798873
0.01,0.01,1.0,11,0.0,3.4788955341685273,0.4947339867130012,-38.71051550359233,5.2559269086656775,,,75.31641925420323,50.43981273432159,0.1613938848293238,4.152174209766321,75.47781313903255,50.36966876328518,5.288895534168527
0.01,0.01,1.2,11,0.0,3.660310398448546,0.5409374302207441,-39.57907994733041,4.042888473321514,,,75.61899581173425,51.729206961348154,0.19999146703074003,4.709750600417616,75.818987278765,51.65119214995684,5.670310398448546
0.01,0.01,1.4,11,0.0,3.2321756536309727,0.48379398591548856,-38.69673043617485,5.605215395481652,,,74.54464566104889,50.868342952589636,0.16574200076764717,4.206189291752152,74.71038766181654,50.79930578581616,5.442175653630972
0.01,0.01,1.6,11,0.0,3.439534794200509,0.43304021540568866,-38.962728172799814,4.943614461559469,,,75.44766633842458,50.49430616399846,0.18769162004930615,4.569513944988274,75.63535795847388,50.42056157788386,5.849534794200509
0.01,0.01,1.8,11,0.0,3.8091919638893272,1.0500541453964864,-43.601412054109254,64.62017788126744,,,75.30249253147946,50.5366120567998,0.17886059692324874,4.365105073666446,75.48135312840272,50.45855169228337,6.419191963889327
0.01,0.01,2.0,11,0.18181818181818182,3.5399740392511094,0.37071071653618126,-41.81647806212908,66.74703758686627,-33.662031173706055,2.248192472821076,66.79782061209825,52.9156451148851,0.150425901508968,4.068839176624634,66.94824651360722,52.88217360133154,6.3499740392511095
0.01,0.2,0.01,11,0.0,0.3877986561167732,0.2979586791455956,-37.686824056837295,6.546329828261389,,,68.01577081195776,52.748755200961206,0.1352332293346176,3.810934732544773,68.15100404129238,52.71202926195935,1.2077986561167733
0.01,0.2,0.2,11,0.0,0.39297884160817265,0.1999593494713144,-39.04183419545492,3.8047472406144998,,,68.2896210208581,53.617320717962606,0.14344732614184072,3.9210935176477544,68.43306834699996,53.577977933795374,1.4029788416081725
0.01,0.2,0.4,11,0.0,0.38420070301397274,0.25637229439405895,-39.80899556477865,2.8626857374677512,,,66.75015337851028,53.102531789465736,0.1437923533840877,4.095559149239585,66.89394573189436,53.07971140092722,1.5942007030139727
0.01,0.2,0.6,11,0.0,0.4013451662930026,0.27619172747097825,-37.72888653452804,5.294001799412158,,,70.72642205924348,52.07299614325608,0.15018073925489459,4.229523358392175,70.87660279849837,52.040771118320286,1.8113451662930027
