angle,rad,entries,accuracy,elapsed,elapsed_std,rss_boresight,rss_boresight_std,rss_sweep,rss_sweep_std,rss_beam,rss_beam_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std
0.0,0.0,13,87.76923076923077,8.453240761390045,0.47361604813477715,-5.651120628002545,1.7353164223233293,-5.466831739132221,0.4828291480415875,-5.651120628002545,1.7353164223233293,29.54692082426241,47.577769228915216,47.07017244414673,52.54599839180234,76.61709326840915,47.36191338177293
11.25,0.19634954084936207,13,87.38461538461539,8.461365332970201,0.7811912636875965,-17.170346393551625,0.506424057086523,-4.676180747839121,0.34766980242841405,-4.8154788709862135,1.517405897432351,29.643494308449093,48.55033984752558,47.14813761422424,54.164771600440375,76.79163192267333,49.95666937506878
22.5,0.39269908169872414,13,87.3076923076923,8.70908223665673,0.6511312053467069,-13.116134976290397,1.032583317619821,-4.958772384203398,0.21539180873995614,-5.006790088096135,0.9595526425508203,29.163377994578543,49.724366941434965,46.52392751551067,55.582017569874466,75.6873055100892,53.369148590511706
33.75,0.5890486225480862,13,86.6923076923077,8.694226925189644,0.6446683204652442,-27.756833432729834,0.5195968201863567,-6.69596083347614,0.29826869320151617,-6.779480509913714,1.2634163613114067,29.8531217192882,49.938734403966805,45.95233369773636,57.23738039386581,75.80545541702456,55.01214259019813
45.0,0.7853981633974483,13,87.38461538461539,8.396277060875484,0.5780368398571436,-32.419608895207794,0.5372852838124632,-6.55714253278879,0.04708663238597223,-6.510173576459446,0.49840128275427537,29.076252117575553,49.471640284584964,45.19986572523461,56.34544106156782,74.27611784281017,54.71516738780235
56.25,0.9817477042468103,13,87.23076923076923,8.734739743746193,0.6288937626176935,-26.672662861132746,0.7599653465363228,-11.23159173818735,0.5390038343325264,-11.309992437925663,1.4051999640432655,29.456537503274,49.26791093727697,46.03624021317263,60.37499067936922,75.49277771644664,57.96820216756608
67.5,1.1780972450961724,13,87.15384615384616,8.678197860717738,0.6568631975687458,-48.246565392032096,1.1195717233184856,-21.412439052875225,0.6055609679515416,-46.44355192974972,2.498497801695866,29.725833700602323,48.81185847016256,43.675303969097556,56.5781653522416,73.40113766969988,54.65436714186663
78.75,1.3744467859455345,13,87.53846153846153,8.431159532987117,0.6799302300722051,-39.33970161397763,0.8537132317167881,-21.434116510244515,0.6043234397702384,-23.62267526466941,0.6743549991902632,29.67270507191554,47.884906784649836,43.99142035620448,53.74546691611963,73.66412542812003,50.70338989127126
90.0,1.5707963267948966,13,86.3076923076923,8.357451512263331,0.49333493214941454,-39.616278306685665,1.6289270732200654,-22.613360918485203,0.5578996831034423,-24.689753534088673,0.8863218363308302,29.68046130191857,48.627872355272295,41.23214751655594,52.814642614749225,70.91260881847451,52.02367050355225
101.25,1.7671458676442584,13,87.61538461538461,8.421677809495131,0.38060877747897637,-56.919527829164366,1.3541631307966946,-24.403350609999436,0.6166001349623655,-34.76115164061213,0.8817157922905948,29.605248985939948,48.4845664307957,38.74888792670764,52.206076640467366,68.35413691264759,52.74345308286875
112.5,1.9634954084936207,13,87.46153846153847,7.954835891723576,0.4516247671228334,-46.39186742710459,0.7016351974381039,-35.241931621844955,0.32526537351755935,-36.313315016158086,0.5980935477425668,29.62389480550514,49.30772442788783,37.93169053047183,52.13339985659003,67.55558533597697,53.86798431548479
123.75,2.159844949342983,13,87.61538461538461,8.248494221613916,0.45412139447074745,-53.52195445689535,1.8856096263907132,-33.804931640625,0.551555552104294,-34.60234017057041,0.7177952986123644,29.56219136599047,49.420715820382924,38.62562694643748,52.39119316078714,68.18781831242795,53.884257319703934
135.0,2.356194490192345,13,86.53846153846153,8.153181809645378,0.3558829902869768,-46.44454964192708,1.3489649752871278,-21.478470215430626,0.6006012414843821,-46.37832304535719,2.193158238592478,29.61916389077542,48.83843636452344,39.10300982072594,53.80240802007632,68.72217371150136,54.43785520674218
202.5,3.534291735288517,13,86.15384615384616,8.34468694833603,0.5035761885666509,-24.903191896847318,1.0603465545763988,-23.292632469764122,0.6025181946271112,-43.1411336924011,0.9643323793529758,29.45689831402042,47.514325446141775,41.15089355841753,51.93248547558715,70.60779187243794,50.30132349566393
213.75,3.7306412761378795,13,85.76923076923077,8.619546890258732,1.2306717373649545,-42.7911231549866,1.6768728732861604,-28.89937789623554,0.571707824209445,-46.73386453930797,1.2429140752532277,30.113482797945906,50.45536536998514,46.87386698484479,56.87615561477531,76.9873497827907,54.38337602464589
236.25,4.123340357836603,13,87.38461538461539,8.146194311288646,0.5610859191379233,-45.016897769041464,2.4367202080516788,-30.98040668780987,0.5403983552649682,-42.67465791087811,1.8636258462089221,29.58795356932077,49.557835061139606,40.420333777048306,55.367092623734926,70.00828734636907,55.942547199261426
247.5,4.319689898685966,13,87.23076923076923,8.105919911311169,0.8342194331148749,-52.246753245224184,1.108219453380813,-33.32113999586839,0.35751204358180255,-45.40754426029366,1.6698134729130547,29.58985006139727,48.791866795560246,42.117721191753375,54.73820406999916,71.70757125315065,53.70648965739939
258.75,4.516039439535327,13,87.07692307692308,7.9883612119234,0.7691834881675111,-51.31854544258792,0.9850307692776011,-36.160357401921196,0.11250771783950027,-45.5743718340024,0.8870623670824472,29.64086103045387,49.10342153117098,37.374639202876004,53.82577120082079,67.01550023332987,55.612159799948024
270.0,4.71238898038469,13,86.92307692307692,8.609716708843486,0.6976957894956183,-49.056889366892584,1.143714821236865,-37.026459180391754,0.11476605992599613,-38.58048918049592,0.7082532307514089,29.054882912715968,48.776655123152565,33.20837160067437,51.19024042410907,62.26325451339033,55.40631391352565
281.25,4.908738521234052,13,87.3076923076923,7.657106106097832,0.3625774813143187,-49.074858005876585,1.057245390784116,-36.131079600407524,0.5201901803496276,-36.09994198959485,0.9427961171601379,29.556061174097966,48.09742843515587,38.84787920313368,53.388464180448004,68.40394037723166,53.54713155332384
292.5,5.105088062083414,13,87.15384615384616,7.752987054678069,0.9620448493590747,-40.42089571367821,0.8675666711106901,-27.36444876744197,0.29929692682880266,-30.987411423067076,2.1520674309021075,29.16448795414052,48.20793450564833,38.23573239169916,53.870092236634044,67.40022034583968,54.73322826234684
303.75,5.301437602932776,13,87.46153846153847,8.530561740581753,0.4845261552170462,-35.262380880122656,2.105434740708231,-5.745898283444918,0.05457160828202708,-6.292245734859792,3.3536882178759395,29.263232282473815,49.36862969516769,44.24161416707886,55.63498153666246,73.50484644955266,54.25118111946449
315.0,5.497787143782138,13,87.61538461538461,8.606305489173263,0.49606920780216524,-30.260070264915086,0.40524906979520103,-7.500541136814998,0.07023273791994528,-7.773792034108767,3.648763930725104,29.67927186277746,49.42724106432325,45.046775999430466,55.67242581320747,74.72604786220792,53.55877917556558
326.25,5.6941366846315,13,87.15384615384616,8.439779281616145,0.5904783042890773,-24.12824505320294,0.42823990713309096,-8.507293774531437,0.045645583621212606,-8.508429841379694,0.9917359537407866,29.35191109560002,50.203409807823455,43.9043299639798,55.438570819807275,73.25624105957982,54.922207292041456
