beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std,update
0.01,0.01,4.5,670,0.008955223880597015,3.118935271875132,0.48240502880272607,-31.781210128975843,10.958647339570362,-23.499905745188396,7.424179576159917,16.045321637426902,42.349701779169294,40.02802144249513,55.006003650795876,56.073343079922026,59.45214544904955,8.428935271875133
0.01,0.01,5.0,675,0.02074074074074074,3.0026517090973535,0.521153153228984,-38.194549115908984,8.884603739935034,-21.09569522312709,4.5276859029580985,11.523207849033328,36.46787228445065,28.4857553152528,49.746573251151496,40.00896316428613,56.10788478903787,8.812651709097354
0.01,0.01,5.5,666,0.0045045045045045045,2.9740061487878995,0.5108625212909932,-38.186453931348055,12.146836202764508,-28.203798294067383,7.833091541850711,12.381226605240425,37.635557587264074,27.515836452634613,48.09313125999733,39.89706305787504,55.208564705177785,9.284006148787899
0.01,0.01,6.0,645,0.007751937984496124,2.990195547887472,0.4670186939526822,-38.28682636334707,8.866849919222052,-25.47230815887451,8.760621632923417,12.503634777551614,37.71734812508166,26.897353881942426,47.66098733790946,39.40098865949404,54.96816865025141,9.800195547887473
0.01,0.01,6.5,640,0.0046875,2.925372123718212,0.48602356911070355,-38.008455132489196,8.866153801249855,-21.48870786031087,4.201827127691621,12.723519663949748,37.39182755766626,26.95242499566449,48.538439749305866,39.67594465961424,55.39160435404832,10.235372123718212
0.01,0.01,7.0,639,0.00782472613458529,3.0371045842416478,0.4665590384349434,-37.61974299041072,9.34429475276631,-25.115847015380858,8.21520894684249,12.27473640373294,36.87435762799319,25.933708141669978,47.77944564539107,38.20844454540292,54.82607642785937,10.847104584241649
0.01,0.01,7.5,635,0.012598425196850394,2.9668368692472677,0.9962155587302545,-38.101923928223805,8.761809796185059,-26.11519145965576,4.466177132517048,13.107531128916976,39.104630254970935,25.65079185945905,46.48722104947023,38.75832298837603,54.93413125685456,11.27683686924727
0.01,0.01,8.0,624,0.00641025641025641,3.020502817936384,0.4726839867847214,-38.19350839785137,12.362502587900499,-33.99641799926758,4.495003221677738,13.712647901122919,39.31768380618962,25.199713618207852,46.810622670586625,38.912361519330766,55.19027078187174,11.830502817936384
0.01,0.01,8.5,615,0.011382113821138212,2.949381262306227,0.44172592696332874,-38.177540146513486,8.90743728788628,-24.709473746163503,3.943803662875971,14.129993581030055,41.35072076660535,24.549020163117355,45.377607433745176,38.679013744147404,55.45462176029844,12.259381262306228
0.01,0.01,9.0,612,0.014705882352941176,2.923378757401959,0.46253066163319007,-38.24756357608978,12.50416897950428,-23.711873266432022,4.581834342920138,13.83921866786814,38.69147296896849,24.686490951415482,46.935958193841,38.52570961928362,54.924423303666416,12.73337875740196
0.01,0.01,9.5,593,0.00505902192242833,2.917680129232887,0.4373516433591609,-38.15248375813279,10.827623508715378,-30.277215321858723,5.3875242851840905,14.167046512069588,39.474936047920295,24.42880747535753,46.761792658535335,38.59585398742711,55.25150029975387,13.227680129232887
0.01,0.5,0.01,1079,0.0018535681186283596,0.05271260223528799,0.08454798076351361,-37.3567890326182,8.998964131719056,-42.82574653625488,7.90768477785545,1.8525907769480705,20.72574044246977,35.6979992019609,52.048778800692176,37.55058997890897,54.83025244632086,0.872712602235288
0.01,0.5,0.5,1044,0.0009578544061302681,0.048374307566664124,0.08738558527017438,-39.12979665685583,8.87131742834491,-37.27747344970703,,2.221820809248555,21.676876073438123,34.362957610789984,51.80317889061893,36.58477842003854,54.77910919315364,1.358374307566664
0.01,0.5,1.0,1041,0.004803073967339097,0.06450424963869796,0.08789620928120864,-37.710429683174056,9.076146220854834,-31.5065128326416,11.627960952919766,3.0263924931362594,23.83517864962232,33.10226973560495,51.28791524551548,36.128662228741206,54.75576468613347,1.874504249638698
0.01,0.5,1.5,1017,0.0009832841691248771,0.04388144351504239,0.07847906209012272,-38.08980750540892,8.79410881540233,-41.76997375488281,,2.8591303527636294,22.32632871290851,32.1106866628938,49.858284233672045,34.969817015657426,52.92150593749452,2.3538814435150424
0.01,0.5,10.0,733,0.001364256480218281,0.06349773068706205,0.08316600657146386,-37.98767040206725,9.155482058392126,-34.42810249328613,,6.694819819819819,29.96284403063537,22.12837837837838,45.14824022819543,28.8231981981982,51.37926224864258,10.873497730687063
0.01,0.5,2.0,986,0.002028397565922921,0.049190153698396424,0.07929015183528448,-37.923096234525616,8.849754026676747,-31.212927818298336,9.384643870893255,2.9878847413228553,23.72818583435313,31.972120871924407,49.44474764191856,34.96000561324727,53.07297921729434,2.8591901536983966
0.01,0.5,2.5,929,0.001076426264800861,0.04945992140260613,0.0851906673807474,-37.663973167499535,9.143025537765887,-37.87678909301758,,3.310666588336662,24.214989472649794,29.942868053107745,49.467160705532805,33.2535346414444,53.245585260360016,3.359459921402606
0.01,0.5,3.0,953,0.002098635886673662,0.05177811085238302,0.08246518432789626,-38.20690938981913,8.944773325470653,-41.37828254699707,13.052864148133207,3.6297619707126105,24.482491465385944,29.31508873007959,49.78095385502259,32.9448507007922,53.522989232301455,3.861778110852383
0.01,0.5,3.5,927,0.0010787486515641855,0.05900744095587952,0.07825656944083108,-37.674008390088105,8.838684584613656,-28.19073486328125,,4.338815912578123,25.638335176511724,27.787133715055575,48.164824544662764,32.125949627633695,52.30711712222761,4.36900744095588
0.01,0.5,4.0,902,0.0022172949002217295,0.04672528370520036,0.07980721379582,-32.237645024617514,8.00008742777711,-34.96652412414551,4.146680742429681,5.5735146583435515,28.02521223320162,42.70705606955746,55.64753690273308,48.280570727901015,58.360753451660486,4.856725283705201
0.01,0.5,4.5,863,0.0,0.0663718094278592,0.09460941709268557,-31.885873498587774,8.181531956813066,,,7.026696747508931,29.410827870585575,42.53031584884377,57.01516476637686,49.5570125963527,59.31270380298692,5.37637180942786
0.01,0.5,5.0,863,0.0011587485515643105,0.053875692197361255,0.08659913414763154,-32.18158355961001,8.112895615100106,-43.745365142822266,,6.4695116300620885,30.852308534743916,40.73417662867204,55.87669024066254,47.20368825873413,59.556525151373236,5.863875692197362
0.01,0.5,5.5,852,0.0011737089201877935,0.06664582821123716,0.097829819942903,-35.25043211496004,9.601878647216735,-23.82428359985352,,6.058083610802812,28.62863206740348,30.544765075841656,50.556905134199305,36.60284868664447,54.822378740535974,6.376645828211237
0.01,0.5,6.0,844,0.001184834123222749,0.05769983852077587,0.08518920290115219,-37.14114189147949,8.92194450867307,-19.151611328125,,5.103921997050309,26.436136447642795,24.831121064802172,46.37123079779365,29.93504306185248,50.94776049594206,6.867699838520776
0.01,0.5,6.5,821,0.00243605359317905,0.04872683340389569,0.08528994608382226,-37.17460474464464,9.171190982787682,-24.62063503265381,2.978112500169603,4.559368012023901,25.60957674005681,24.4407327981231,46.730726573515916,29.000100810147,51.15398694769983,7.358726833403896
0.01,0.5,7.0,816,0.0024509803921568627,0.04968719155179527,0.08135713174300502,-37.92342460050611,8.859192579980565,-41.616275787353516,8.705933950359418,4.858572909279363,27.21429965534248,24.4292455403415,46.805303356328594,29.28781844962086,51.90336247645811,7.859687191551796
0.01,0.5,7.5,793,0.0,0.07114223994942419,0.10207705928125056,-36.44018439485245,8.534388780311971,,,6.117778866390884,26.927500582564498,23.966497931635097,45.98664240851141,30.084276798025982,50.463869612170626,8.381142239949424
0.01,0.5,8.0,784,0.003826530612244898,0.07271675430996777,0.0973459277904061,-37.26829170975192,8.139045299149013,-33.07683436075846,0.8217608962568231,5.811558380414312,26.281247314974586,21.690071345791686,44.21827528106731,27.501629726205994,48.92688321613324,8.882716754309968
0.01,0.5,8.5,768,0.00390625,0.061118975281699336,0.08767169509345152,-37.71898701421274,8.569246819043304,-40.41245651245117,5.07922579626339,6.033407451597158,28.848163411500018,23.26364408771264,45.837995341454764,29.297051539309795,51.50344684566964,9.3711189752817
0.01,0.5,9.0,761,0.001314060446780552,0.06305121874212645,0.0861718356387044,-37.68333207287834,9.029109334540628,-41.854618072509766,,6.299654110144301,28.5444450057161,22.41190617737664,44.9188224458944,28.711560287520943,50.49847695762595,9.873051218742127
0.01,0.5,9.5,743,0.0013458950201884253,0.05449164122301654,0.07736873207414231,-37.98379418843304,9.298813211174577,-35.982852935791016,,6.108591176629408,28.460014895960708,22.488165307701998,44.3638648643981,28.596756484331408,50.03366967099409,10.364491641223017
0.01,1.0,0.01,1079,0.0,0.01841236641276241,0.04837689409691356,-38.53810992421983,8.687713161949882,,,1.9038450485660094,20.687149107484547,35.02356457267659,51.93689786748067,36.9274096212426,54.69947854521346,0.8384123664127625
0.01,1.0,0.5,1069,0.0,0.018482904104115877,0.047892570457211694,-38.87715948545016,9.588367617702922,,,2.0594742939623574,20.686499998065432,33.824046113231915,51.43214056502043,35.883520407194275,54.16520026604294,1.328482904104116
0.01,1.0,1.0,1030,0.0,0.0300956003874183,0.05683771034248292,-38.50624003261328,8.364500397062418,,,2.378152545937781,22.38359188517615,33.30608615843515,51.03163403308414,35.68423870437293,54.2847111353474,1.8400956003874183
0.01,1.0,1.5,1017,0.0009832841691248771,0.03307290016255976,0.06366589512095992,-37.694196240407116,9.11165291412517,-24.64057731628418,,2.6398844800662267,21.512850184642158,31.849118549039527,49.6865148098435,34.48900302910576,52.56792746280473,2.34307290016256
0.01,1.0,10.0,736,0.0,0.01778809920600697,0.04600054979992483,-37.628753266244566,9.04580690495281,,,2.7366059287462603,22.66449120756765,21.75120116036624,43.73944167316103,24.4878070891125,48.0391768433896,10.827788099206007
0.01,1.0,2.0,1005,0.0,0.018934230899332237,0.058456451656037814,-38.01851176539211,9.04229195672965,,,2.190897055807276,21.337856244153684,30.387042941582294,50.16406145042471,32.57793999738957,53.27832538609019,2.8289342308993324
0.01,1.0,2.5,962,0.0,0.025630492926133723,0.06387238757403897,-37.895334067551985,9.347288117310427,,,2.479878232677373,20.739714712772596,30.465392445148158,50.01959225068719,32.945270677825526,52.73505383670542,3.335630492926134
0.01,1.0,3.0,968,0.0,0.019817066586701796,0.052039846694238015,-37.60835449167546,9.199681194733007,,,2.4615356301531213,21.308825167690138,28.900038648409897,47.63183346922494,31.361574278563015,50.79933842231355,3.8298170665867017
0.01,1.0,3.5,930,0.0,0.028981701020264518,0.06841316321421327,-38.8051511545976,9.210712866669375,,,2.8253297761968286,22.73168836091335,28.739625018526752,48.62593777684871,31.56495479472358,52.142157772354935,4.338981701020265
0.01,1.0,4.0,919,0.0,0.02360084500483447,0.05694126133039409,-37.35538958918097,8.627361432150574,,,2.6969090875419,21.006462957439325,27.657786543696872,47.97782735513251,30.354695631238773,50.93087514662298,4.833600845004835
0.01,1.0,4.5,893,0.0,0.02965120826028407,0.05853558810240024,-37.089220931564554,9.218954847194604,,,2.9671542920231855,22.87198138524623,27.18166344649922,46.858594186485334,30.148817738522403,50.57214745237965,5.3396512082602845
0.01,1.0,5.0,877,0.0,0.02975991269744895,0.06741127051322439,-37.73284970797025,9.00603707383421,,,3.2180162691809944,22.293509785822334,26.027223146607508,46.87822356220416,29.2452394157885,50.26974315239477,5.839759912697449
0.01,1.0,5.5,870,0.0,0.029877684582231404,0.06418145592025802,-36.267161497702965,9.104115023484544,,,3.5455656488271132,23.485059092491703,25.7766042829521,46.71462920834203,29.322169931779214,50.50751720533387,6.339877684582232
0.01,1.0,6.0,837,0.0,0.019075765119795605,0.045487954680497066,-38.123385546757625,8.577273277677493,,,2.7221758873135022,23.22125894047677,25.107728662774534,46.03308627713354,27.829904550088035,50.21522668410991,6.829075765119796
0.01,1.0,6.5,827,0.0,0.032237247803759944,0.06287564130894721,-37.45758440771768,9.060773700848362,,,3.7571127019089574,24.314387241367836,24.68222283406755,45.81915053886144,28.439335535976504,50.05103379189456,7.3422372478037605
0.01,1.0,7.0,819,0.0,0.027709828191617082,0.05184268249348049,-37.97257632720165,9.53124132431803,,,3.34623944252905,23.197124782515896,22.52868530983783,44.65082483928636,25.87492475236688,48.79571451148708,7.837709828191618
0.01,1.0,7.5,797,0.0,0.017911906224416945,0.044839087798427935,-36.552322175767685,8.24097837598949,,,2.8698571245632327,22.55415870638391,23.833534566342863,45.80560156234284,26.703391690906095,49.69947709360839,8.327911906224417
0.01,1.0,8.0,791,0.0,0.019507221265322887,0.04523806111004193,-36.08797828910887,9.259617596966239,,,2.63892672296377,16.86689578012111,23.517660946154543,46.53148828646976,26.156587669118316,48.22387422052637,8.829507221265324
0.01,1.0,8.5,762,0.0,0.03026132508524944,0.057760068048924425,-37.45062411915172,8.144330443393837,,,3.9903819805995506,24.631591538719,22.891890904440913,45.28725793205151,26.88227288504046,49.74883156349731,9.34026132508525
0.01,1.0,9.0,748,0.0,0.02519778389343615,0.05440273801789897,-37.74858885253502,9.239938344992021,,,3.6546697413935103,23.773170752848337,22.44276066545874,43.73621225096317,26.097430406852247,48.103733178685665,9.835197783893436
